 -- FILM's AVERAGE PER COUNTRY -- Mon Oct 11 09:09:16 2021
__________________
('Country:', 'CO', 'Average:', 2.305460385438973, 'Elements:', 1868)
('Country:', 'BD', 'Average:', 2.309109560935573, 'Elements:', 2437)
('Country:', 'SB', 'Average:', 2.325, 'Elements:', 4)
('Country:', 'AM', 'Average:', 2.393877551020408, 'Elements:', 196)
('Country:', 'DK', 'Average:', 2.4728544482867054, 'Elements:', 12724)
('Country:', 'PE', 'Average:', 2.4860813704496794, 'Elements:', 934)
('Country:', 'CSXX', 'Average:', 2.5037735849056606, 'Elements:', 53)
('Country:', 'VE', 'Average:', 2.536802464909278, 'Elements:', 2921)
('Country:', 'NC', 'Average:', 2.54, 'Elements:', 5)
('Country:', 'GE', 'Average:', 2.553932584269663, 'Elements:', 356)
('Country:', 'US', 'Average:', 2.570380896782836, 'Elements:', 625235)
('Country:', 'TO', 'Average:', 2.62, 'Elements:', 5)
('Country:', 'GB', 'Average:', 2.6380754189404496, 'Elements:', 155213)
('Country:', 'ID', 'Average:', 2.6454046639231774, 'Elements:', 3645)
('Country:', 'DDDE', 'Average:', 2.6470544918998504, 'Elements:', 2716)
('Country:', 'MN', 'Average:', 2.66989247311828, 'Elements:', 93)
('Country:', 'TD', 'Average:', 2.690909090909091, 'Elements:', 11)
('Country:', 'GA', 'Average:', 2.7181818181818183, 'Elements:', 11)
('Country:', 'SO', 'Average:', 2.7199999999999998, 'Elements:', 5)
('Country:', 'VU', 'Average:', 2.7199999999999998, 'Elements:', 5)
('Country:', 'BH', 'Average:', 2.7211267605633798, 'Elements:', 71)
('Country:', 'PS', 'Average:', 2.75, 'Elements:', 98)
('Country:', 'TW', 'Average:', 2.7593204775022993, 'Elements:', 3267)
('Country:', 'TR', 'Average:', 2.76153068318271, 'Elements:', 15823)
('Country:', 'YUCS', 'Average:', 2.8240549828178687, 'Elements:', 291)
('Country:', 'XWG', 'Average:', 2.9661785885741674, 'Elements:', 12498)
('Country:', 'RU', 'Average:', 2.9709412209412194, 'Elements:', 21164)
('Country:', 'AZ', 'Average:', 3.0351190476190473, 'Elements:', 168)
('Country:', 'MK', 'Average:', 3.056910569105692, 'Elements:', 246)
('Country:', 'SY', 'Average:', 3.0668478260869576, 'Elements:', 184)
('Country:', 'IS', 'Average:', 3.082529118136439, 'Elements:', 601)
('Country:', 'EG', 'Average:', 3.100675053697458, 'Elements:', 3259)
('Country:', 'SE', 'Average:', 3.1351095277798886, 'Elements:', 13193)
('Country:', 'PL', 'Average:', 3.1377551772422474, 'Elements:', 13569)
('Country:', 'BR', 'Average:', 3.195991663435438, 'Elements:', 20632)
('Country:', 'GR', 'Average:', 3.244298059215183, 'Elements:', 14118)
('Country:', 'SI', 'Average:', 3.2965452847805774, 'Elements:', 1071)
('Country:', 'BA', 'Average:', 3.471516393442626, 'Elements:', 976)
('Country:', 'EE', 'Average:', 3.517156286721506, 'Elements:', 851)
('Country:', 'XAS', 'Average:', 3.549367088607596, 'Elements:', 79)
('Country:', 'LV', 'Average:', 3.5701631701631724, 'Elements:', 429)
('Country:', 'UY', 'Average:', 3.573950795947904, 'Elements:', 691)
('Country:', 'XPI', 'Average:', 3.6, 'Elements:', 3)
('Country:', 'XWW', 'Average:', 3.6124639041293607, 'Elements:', 27704)
('Country:', 'VN', 'Average:', 3.6208215297450415, 'Elements:', 706)
('Country:', 'UZ', 'Average:', 3.6857142857142864, 'Elements:', 119)
('Country:', 'BG', 'Average:', 3.749469536223105, 'Elements:', 3299)
('Country:', 'TM', 'Average:', 3.7624999999999997, 'Elements:', 8)
('Country:', 'HU', 'Average:', 3.783185011709599, 'Elements:', 10675)
('Country:', 'UA', 'Average:', 3.7927169646750944, 'Elements:', 2293)
('Country:', 'RS', 'Average:', 3.852439886845831, 'Elements:', 2828)
('Country:', 'RO', 'Average:', 3.8570636215334444, 'Elements:', 3065)
('Country:', 'TN', 'Average:', 4.06416819012797, 'Elements:', 547)
('Country:', 'NR', 'Average:', 4.1, 'Elements:', 2)
('Country:', 'XEU', 'Average:', 4.186062378167643, 'Elements:', 1026)
('Country:', 'LC', 'Average:', 4.383333333333333, 'Elements:', 6)
('Country:', 'SUHH', 'Average:', 4.441762523191097, 'Elements:', 5390)
('Country:', 'MP', 'Average:', 4.666666666666667, 'Elements:', 3)
('Country:', 'LT', 'Average:', 4.688073394495404, 'Elements:', 763)
('Country:', 'MH', 'Average:', 4.74, 'Elements:', 5)
('Country:', 'WS', 'Average:', 5.0, 'Elements:', 2)
('Country:', 'HR', 'Average:', 5.210989010989007, 'Elements:', 1638)
('Country:', 'SM', 'Average:', 5.726666666666667, 'Elements:', 75)
('Country:', 'XSA', 'Average:', 6.178947368421052, 'Elements:', 19)
('Country:', 'ST', 'Average:', 6.7, 'Elements:', 2)
('Country:', 'XNA', 'Average:', 7.6, 'Elements:', 2)

__________________
